,LOCALIZED,ISSN,ISSN.1,ISSN.2,ISBN,ISBN.1,ISBN.2,OTHER_SYSTEM_NUMBER,OTHER_SYSTEM_NUMBER.1,OTHER_SYSTEM_NUMBER.2,PORTFOLIO_PID,MMS,TITLE,FROM_YEAR,TO_YEAR,FROM_MONTH,TO_MONTH,FROM_DAY,TO_DAY,FROM_VOLUME,TO_VOLUME,FROM_ISSUE,TO_ISSUE,PUBLICATION_DATE_OPERATOR,PUBLICATION_DATE_YEAR,PUBLICATION_DATE_MONTH,GLOBAL_FROM_YEAR,GLOBAL_TO_YEAR,GLOBAL_FROM_MONTH,GLOBAL_TO_MONTH,GLOBAL_FROM_DAY,GLOBAL_TO_DAY,GLOBAL_FROM_VOLUME,GLOBAL_TO_VOLUME,GLOBAL_FROM_ISSUE,GLOBAL_TO_ISSUE,GLOBAL_PUBLICATION_DATE_OPERATOR,GLOBAL_PUBLICATION_DATE_YEAR,GLOBAL_PUBLICATION_DATE_MONTH,ACCESS_TYPE,PERPETUAL_FROM_YEAR,PERPETUAL_TO_YEAR,PERPETUAL_FROM_MONTH,PERPETUAL_TO_MONTH,PERPETUAL_FROM_DAY,PERPETUAL_TO_DAY,PERPETUAL_FROM_VOLUME,PERPETUAL_TO_VOLUME,PERPETUAL_FROM_ISSUE,PERPETUAL_TO_ISSUE,PERPETUAL_PUBLICATION_DATE_OPERATOR,PERPETUAL_PUBLICATION_DATE_YEAR,PERPETUAL_PUBLICATION_DATE_MONTH,AVAILABILITY,PUBLISHER,PLACE_OF_PUBLICATION,DATE_OF_PUBLICATION,URL,PARSER_PARAMETERS,PROXY_ENABLE,PROXY_SELECTED,PROXY_LEVEL,AUTHOR,ELECTRONIC_MATERIAL_TYPE,OWNERSHIP,GROUP_NAME,GROUP_FROM_YEAR,GROUP_TO_YEAR,GROUP_FROM_MONTH,GROUP_TO_MONTH,GROUP_FROM_DAY,GROUP_TO_DAY,GROUP_FROM_VOLUME,GROUP_TO_VOLUME,GROUP_FROM_ISSUE,GROUP_TO_ISSUE,GROUP_PUBLICATION_DATE_OPERATOR,GROUP_PUBLICATION_DATE_YEAR,GROUP_PUBLICATION_DATE_MONTH,GROUP_PROXY_ENABLE,GROUP_PROXY_SELECTED,GROUP_AUTHENTICATION_NOTES,GROUP_PUBLIC_NOTES,AUTHENTICATION_NOTES,PUBLIC_NOTES,INTERNAL_DESCRIPTION,COVERAGE_STATEMENT,ACTIVATION_DATE,EXPECTED_ACTIVATION_DATE,LICENSE,LICENSE_NAME,COLLECTION_LICENSE,COLLECTION_LICENSE_NAME,PDA,EBA,PO_LINE,LANGUAGE,COUNTER_PLATFORM,NOTES,MarkBuy
791,N,,,,9780128221341,0128221593,9780128221594,(OCoLC)on1236132089,(OCoLC)1236132089,(OCoLC)1236132915,53443008640002917,991023705084902917,"Handbook of advanced approaches towards pollution prevention and control. Volume 2, Legislative measures and sustainability for pollution prevention and control / edited by Rehab O. Abdel Rahman, Chaudhery Mustansar Hussain.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,",Amsterdam :,2021.,http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780128221341,,False,,,,BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
792,N,,,,9780128181584,0128181583,9780128181591,(OCoLC)on1137620696,(OCoLC)1137620696,(OCoLC)1137814266,53443008660002917,991023705206102917,"Smokeless tobacco products : characteristics, usage, health effects, and regulatory implications / edited by Wallace R. Pickworth.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,","Amsterdam, Netherlands :",2020.,http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780128181584,,False,,,,BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
793,N,,,,012816171X,9780128161715,,(OCoLC)on1100767588,(OCoLC)1100767588,(OCoLC)1229876804,53443008700002917,991023705210502917,"Sustainable Water and Wastewater Processing / edited by Charis M. Galanakis, Evita Agrafioti.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,","Amsterdam, Netherlands ; Cambridge, MA :",[2019],http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780128161708,,False,,,,BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
794,N,,,,,,,(OCoLC)on1125154114,(OCoLC)1125154114,,53443008720002917,991023705206602917,Methods of therapeutic drug monitoring including pharmacogenetics / edited by Georg Hampel.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,","Amsterdam, Netherlands :",[2020],http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/handbooks/15677192/7,,False,,,,BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
795,N,,,,9780128179680,9780128179697,0128179694,(OCoLC)on1162815629,(OCoLC)1162815629,(OCoLC)1173642378,53443008760002917,991023705203102917,"Handbook of chitin and chitosan. Volume 2, Composites and nanocomposites from chitin and chitosan, manufacturing and characterisations / edited by Sreerag Gopi, Sabu Thomas and Anitha Pius",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,","Amsterdam, Netherlands :",2020.,http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780128179680,,False,,,,BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
796,N,,,,9780444643230,0444643230,0444643249,(OCoLC)on1110108530,(OCoLC)1110108530,(OCoLC)1229391571,53443008780002917,991023705208802917,"Biotechnological production of bioactive compounds / edited by Madan L. Verma, Anuj K. Chandel.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,","Amsterdam, Netherlands :",[2020],http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780444643230,,False,,,,BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
797,N,,,,0128185929,9780128185926,0128196858,(OCoLC)on1159162893,(OCoLC)1159162893,(OCoLC)1162124588,53443008820002917,991023705203702917,"Commercial biosensors and their applications : clinical, food, and beyond / edited by Mustafa Kemal Sezgintürk.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,","Amsterdam, Netherlands ; Cambridge, MA :",[2020],http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780128185926,,False,,,,BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
798,N,,,,0444641270,0444641270,9780444641274,(OCoLC)on1085567016,(OCoLC)1085567016,(OCoLC)1229466897,53443008840002917,991023705211802917,"Horizons in sustainable industrial chemistry and catalysis / edited by Stefania Albonetti, Siglinda Perathoner, Elsje Alessandra Quadrelli.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,","Amsterdam, Netherlands :",2019.,http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/bookseries/01672991/178,,False,,,,BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
799,N,,,,9780128225530,012822553X,,(OCoLC)on1183416056,(OCoLC)1183416056,(OCoLC)1181833993,53443008880002917,991023705202102917,Handbook on miniaturization in analytical chemistry : application of nanotechnology / edited by Chaudhery Mustansar Hussain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,","Amsterdam, Netherlands :",2020.,http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780128197639,,False,,,,BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
800,N,,,,9780444594822,0444594825,0444594833,(OCoLC)on1145431073,(OCoLC)1145431073,(OCoLC)1145549690,53443008910002917,991023705205302917,Sample introduction systems in ICPMS and ICPOES / edited by Diane Beauchemin.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,",Amsterdam :,©2020.,http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780444594822,,False,,,,BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
801,N,,,,9780444642233,0444642234,9780444642233,(OCoLC)on1100071264,(OCoLC)1100071264,(OCoLC)1111970442,53443008930002917,991023705210702917,"New and future developments in microbial biotechnology and bioengineering : from cellulose to cellulase. Strategies to improve biofuel production / Neha Srivastava, Manish Srivastava, P.K. Mishra, P.W. Ramteke, Ram Lakhan Singh.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,",Amsterdam :,2019.,http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780444642233,,False,,,"Srivastava, Neha, author.",BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
802,N,,,,9780128179055,0128179066,9780128179062,(OCoLC)on1142634269,(OCoLC)1142634269,,53443008970002917,991023705205702917,"Studies in natural products chemistry. Volume 64, Bioactive natural products / Atta-ur-Rahman, editor.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,","Amsterdam, Netherlands :",2020.,http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/bookseries/15725995/64,,False,,,,BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
803,N,,,,9780444637482,0444637559,9780444637550,(OCoLC)on1112250862,(OCoLC)1112250862,(OCoLC)1110489774,53443009000002917,991023705208402917,Nanocomposite structures and dispersions / Ignac Capek.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,",Amsterdam :,2019.,http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780444637482,,False,,,"Capek, Ignác, author.",BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
804,N,,,,9780128188705,0128188707,0128188715,(OCoLC)on1176247635,(OCoLC)1176247635,(OCoLC)1175915147,53443009030002917,991023705202602917,Molecular and laser spectroscopy. Volume 2 Advances and applications. [electronic resource] / edited by V.P. Gupta and Yukihiro Ozaki.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,",Amsterdam :,2020.,http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780128188705,,False,,,,BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
805,N,,,,0128173114,9780128173114,,(OCoLC)on1104140085,(OCoLC)1104140085,,53443009060002917,991023705209702917,"Biofuels : alternative feedstocks and conversion processes for the production of liquid and gaseous biofuels / edited by Ashok Pandey, Christian Larroche, Claude-Gilles Dussap, Edgard Gnansounou, Samir Kumar Khanal, Steve Ricke.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Academic Press,","London, United Kingdom ; San Diego, CA :",[2019],http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780128168561,,False,,,,BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
806,N,,,,0128202831,9780128202838,,(OCoLC)on1153086081,(OCoLC)1153086081,(OCoLC)1153192679,53443009080002917,991023705204702917,Metal and nonmetal assisted synthesis of six-membered heterocycles [electronic resource] / Navjeet Kaur.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,",Amsterdam :,2020.,http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780128202821,,False,,,"Kaur, Navjeet.",BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
807,N,,,,9780128096383,9780128096390,012809639X,(OCoLC)on1138601580,(OCoLC)1138601580,(OCoLC)1145468517,53443009120002917,991023705205802917,"Hyphenations of capillary chromatography with mass spectrometry / edited by Peter Q. Tranchida, Luigi Mondello.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,",Amsterdam :,2019.,http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780128096383,,False,,,,BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
808,N,,,,9780128157435,0128157437,9780128157435,(OCoLC)on1105199271,(OCoLC)1105199271,(OCoLC)1229341484,53443009140002917,991023705209102917,"Advanced biosensors for health care applications / edited by Inamuddin, Raju Khan, Ali Mohammad, Abdullah M. Asiri.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,",Amsterdam :,[2019],http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780128157435,,False,,,,BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
809,N,,,,9780128188286,0128188286,,(OCoLC)on1181841988,(OCoLC)1181841988,(OCoLC)1179277063,53443009180002917,991023705202402917,"Vibrational Spectroscopy Applications in Biomedical, Pharmaceutical and Food Sciences / Andrei A. Bunaciu [and more].",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,",San Diego :,2020.,http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780128188279,,False,,,"Bunaciu, Andrei A.",BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
810,N,,,,9780128135518,0128135522,9780128135525,(OCoLC)on1066741858,(OCoLC)1066741858,(OCoLC)1079177746,53443009200002917,991023705213102917,"Current trends and future developments on (bio- ) membranes. Membrane desalination systems : the next generation / edited by Angelo Basile, Efrem Curcio, Dr Inamuddin.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,","Amsterdam, Netherlands :",[2019],http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780128135518,,False,,,,BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
811,N,,,,9780444642103,0444642102,0444642846,(OCoLC)on1101879242,(OCoLC)1101879242,(OCoLC)1244445879,53443009240002917,991023705210302917,"Industrial process scale-up : a practical innovation guide from idea to commercial implementation / Jan Harmsen, consultant, Harmsen Consultancy BV, Zuidplas, Netherlands.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,",Amsterdam :,[2019],http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780444642103,,False,,,"Harmsen, Jan, 1950- author.",BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
812,N,,,,9780128181782,0128181788,0128181796,(OCoLC)on1089683239,(OCoLC)1089683239,(OCoLC)1261771063,53443009270002917,991023705211302917,"Strategic planning for the sustainable production of biofuels / José María Ponce-Ortega, José Ezequiel Santibañez-Aguilar.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,","Amsterdam, Netherlands :",[2019],http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780128181782,,False,,,"Ponce-Ortega, José María, author.",BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
813,N,,,,0128147903,9780128147900,0128147903,(OCoLC)on1076873256,(OCoLC)1076873256,(OCoLC)1229503914,53443009300002917,991023705212302917,Advances in Water Purification Techniques : Meeting the Needs of Developed and Developing Countries / edited by Satinder Ahuja.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,",Amsterdam :,[2019],http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780128147900,,False,,,,BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
814,N,,,,0081012209,9780081012208,,(OCoLC)on1097248654,(OCoLC)1097248654,,53443009330002917,991023705211002917,"Coulson and Richardson's chemical engineering. Volume 2A, Particulate systems and particle technology / volume editors, Raj Chhabra, Madivala G. Basavaraj.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Butterworth-Heinemann,",Amsterdam :,2019.,http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780081010983,,False,,,,BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
815,N,,,,9780444642035,044464203X,9780444642035,(OCoLC)on1082356346,(OCoLC)1082356346,(OCoLC)1082878925,53443009360002917,991023705212102917,"Biohydrogen / editors, Ashok Pandey, S. Venkata Mohan, Jo-Shu Chang, Patrick C. Hallenbeck, Christian Larroche.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,","Amsterdam, Netherlands :",[2019],http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780444642035,,False,,,,BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
816,N,,,,0128146648,9780128146644,,(OCoLC)on1088407322,(OCoLC)1088407322,,53443009390002917,991023705211602917,"Safety culture : an innovative leadership approach / James Roughton, Nathan Crutchfield, Michael Waite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Butterworth-Heinemann, an imprint of Elsevier,","[Oxford, United Kingdom] :",[2019],http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780128146637,,False,,,"Roughton, James E., author.",BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
817,N,,,,012814680X,9780128146804,,(OCoLC)on1103710839,(OCoLC)1103710839,,53443009420002917,991023705210002917,"Tools, techniques and protocols for monitoring environmental contaminants / edited by Satinder Kaur Brar, Krishnamoorthy Hegde, Vinayak Laxman Pachapur.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,","Amsterdam, Netherlands :",[2019],http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780128146798,,False,,,,BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
818,N,,,,9780128164464,0128164468,0128164468,(OCoLC)on1076873255,(OCoLC)1076873255,(OCoLC)1229725953,53443009450002917,991023705212402917,"Introduction to adsorption : basics, analysis, and applications / Chi Tien.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,","Amsterdam, Netherlands :",[2019],http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780128164464,,False,,,"Tien, Chi, author.",BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
819,N,,,,9780444641915,0444641912,9780444641915,(OCoLC)on1090397209,(OCoLC)1090397209,,53443009480002917,991023705211202917,"Microbial biotechnology in agro-environmental sustainability / edited by Jay Shankar Singh, D.P. Singh.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,",Amsterdam :,2019.,http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780444641915,,False,,,,BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
820,N,,,,9780444640154,0444640169,9780444640161,(OCoLC)on1088436957,(OCoLC)1088436957,(OCoLC)1229396639,53443009510002917,991023705211502917,"Heterogeneous photocatalysis : relationships with heterogeneous catalysis and perspectives / edited by Giuseppe Marcì, Leonardo Palmisano.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,","Amsterdam, Netherlands :",[2019],http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780444640154,,False,,,,BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
821,N,,,,9780444641144,0444641157,9780444641151,(OCoLC)on1083763008,(OCoLC)1083763008,(OCoLC)1287873739,53443009540002917,991023705212002917,"Advances in enzyme technology / edited by Ashok Pandey, Ram Sarup Singh, Reeta Rani Singhania, Christian Larroche.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,",Amsterdam :,2019.,http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780444641144,,False,,,,BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
822,N,,,,9780128179512,9780128179529,012817952X,(OCoLC)on1124603629,(OCoLC)1124603629,,53443009570002917,991023705095602917,"Biovalorisation of wastes to renewable chemicals and biofuels / edited by Navanietha Krishnaraj Rathinam, Rajesh K. Sani.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,","Amsterdam, Netherlands ; Cambridge, MA :",[2020],http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780128179512,,False,,,,BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,Y
823,N,,,,9780444642790,044464279X,9780444642790,(OCoLC)on1134572141,(OCoLC)1134572141,(OCoLC)1139703457,53443009600002917,991023705094802917,"Microbial biofilms : current research and future trends / edited by Mukesh Kumar Yadav, Research Professor, Korea University College of Medicine, Seoul, South Korea ; Bhim Pratap Singh, Assistant Professor, Department of Biotechnology, Mizoram University, Aizawl, India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,","Amsterdam, Netherlands ; Cambridge, MA, United States :",[2020],http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780444642790,,False,,,,BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
824,N,,,,9780128190005,0128190035,9780128190036,(OCoLC)on1129179834,(OCoLC)1129179834,,53443009630002917,991023705095102917,"Current Developments in Photocatalysis and Photocatalytic Materials : New Horizons in Photocatalysis / edited by Xinchen Wang, Masakazu Anpo, Xianzhi Fun.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,",San Diego :,2020.,http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780128190005,,False,,,,BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
825,N,,,,9780128192252,0128192259,0128192267,(OCoLC)on1135932207,(OCoLC)1135932207,(OCoLC)1136961263,53443009660002917,991023705094502917,Advanced water treatment [electronic resource] : advanced oxidation processes / edited by Mika Sillannpää.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,",Amsterdam :,2020.,http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780128192252,,False,,,,BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
826,N,,,,9780128210123,0128223839,9780128223833,(OCoLC)on1149141596,(OCoLC)1149141596,(OCoLC)1287875617,53443009690002917,991023705091402917,"Bioprocess engineering : kinetics, sustainability, and reactor design / Shijie Liu.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,",Amsterdam :,2020.,http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780128210123,,False,,,"Liu, Shijie, author.",BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
827,N,,,,9780128198209,0128198206,0128198214,(OCoLC)on1150242691,(OCoLC)1150242691,(OCoLC)1151185760,53443009720002917,991023705091202917,Advances in enzyme catalysis and technologies / edited by Sudhir P. Singh [and more].,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,",Amsterdam :,2020.,http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780128198209,,False,,,,BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
828,N,,,,9780128193631,0128193638,0128193646,(OCoLC)on1146581342,(OCoLC)1146581342,(OCoLC)1287865183,53443009750002917,991023705091902917,"Encapsulation of active molecules and their delivery system / edited by Shirish H. Sonawane, Bharat A. Bhanvase and Manickam Sivakumar.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,",Amsterdam :,2020.,http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780128193631,,False,,,,BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
829,N,,,,9780128198582,0128198583,0128198591,(OCoLC)on1138669134,(OCoLC)1138669134,,53443009780002917,991023705093402917,Materials for supercapacitor applications / M. Aulice Scibioh and B. Viswanathan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,",Amsterdam :,2020.,http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780128198582,,False,,,"Scibioh, M. Aulice.",BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
830,N,,,,9780080999258,9780080999258,0080999255,(OCoLC)on1050531812,(OCoLC)1050531812,,53443009810002917,991023705095802917,Corrosion of aluminium / Christian Vargel.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier Science,",Amsterdam :,2015.,http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780080999258,,False,,,"Vargel, Christian, author.",BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
831,N,,,,9780128168233,0128168234,0128168242,(OCoLC)on1139151585,(OCoLC)1139151585,(OCoLC)1139909688,53443009840002917,991023705093302917,"Current trends and future developments on (bio- ) membranes. Membrane technology for water and wastewater treatment -- advances and emerging processes / edited by Angelo Basile, Antonio Comite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,",Amsterdam :,2020.,http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780128168233,,False,,,,BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
832,N,,,,9780128195949,0128195940,9780128213094,(OCoLC)on1141415636,(OCoLC)1141415636,(OCoLC)1287879355,53443009870002917,991023705092702917,Current developments in biotechnology and bioengineering : emerging organic micro-pollutants / edited by Sunita Varjani [and more].,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,"Elsevier,",Amsterdam :,2020.,http://libproxy.sdsu.edu/login?url=https://www.sciencedirect.com/science/book/9780128195949,,False,,,,BOOK,,,,,,,,,,,,,,,,,,,,,,,Only local,,,,,,,,,POL-12982,eng,,,
